Longitude;Latitude;Date;code_qual;lib_qual;coul_qual;date_dif;source;type_zone;code_zone;lib_zone;code_no2;code_so2;code_o3;code_pm10;code_pm25;conc_no2;conc_so2;conc_o3;conc_pm10;conc_pm25;geom;x_wgs84;y_wgs84;x_reg;y_reg;epsg_reg;ObjectId
1.63498519624022;47.3684161507676;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;41112;LASSAY-SUR-CROISNE;1;1;2;1;1;17.9;0;69.2;7.3;4.4;0101000020E6100000267EA13CE628FA3F268BAB4228AF4740;1.63498519596022;47.3684161508193;596990.047728383;6697343.58734436;2154;30
1.33800885755577;48.3942548460903;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;28095;CHAUFFOURS;1;1;2;1;1;17.7;0;71.9;9.4;5.8;0101000020E6100000CFEECAF97B68F53F613E5BF176324840;1.33800885749126;48.3942548461462;576980.674632396;6811734.59273433;2154;31
2.36604897330267;47.0199539778682;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;18267;TROUY;1;1;2;1;1;23.6;0.1;62.5;7.3;4.3;0101000020E610000091D58315ABED0240C20B19DA8D824740;2.36604897316528;47.0199539778037;651846.344705334;6657940.17492738;2154;32
0.899620894655129;48.2312216578498;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;28038;BETHONVILLIERS;1;1;2;1;1;20;0;76.4;9.2;5.7;0101000020E6100000825B0AC2B1C9EC3F449ED9AB981D4840;0.899620894418021;48.2312216579999;544056.563971956;6794393.60549651;2154;33
0.904761048422675;47.7522652157101;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;41274;VILLAVARD;1;1;2;1;1;17.8;0;70.4;8.2;5.2;0101000020E6100000B4B75071CDF3EC3FB768013A4AE04740;0.904761048621131;47.7522652155762;543025.998235265;6741179.62086105;2154;34
1.28589845030668;46.4692996570491;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;36067;DUNET;1;1;2;1;1;17.8;0;63;6.3;3.9;0101000020E6100000E7F0D1400A93F43F951ADC02123C4740;1.28589845009179;46.4692996573187;568482.362563863;6598018.14473767;2154;35
2.77467738397762;46.7475037540595;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;18029;BESSAIS-LE-FROMENTAL;1;1;2;1;1;17.5;0;67.6;5.4;3.5;0101000020E6100000FE9D750E8A320640480EF833AE5F4740;2.77467738434257;46.7475037537775;682798.584930116;6627511.71633058;2154;36
1.65841752764426;47.931706624833;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;45109;COULMIERS;1;1;2;1;1;17.2;0;68.9;8.5;5.3;0101000020E61000001F9646D1E088FA3FDED9A52942F74740;1.65841752765971;47.9317066249675;599821.104099857;6759885.87320537;2154;37
2.61915930285244;47.1846982809406;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;18194;RIANS;1;1;2;1;1;20.3;0;61.5;7.4;4.4;0101000020E61000000D4EF5CA09F4044055E27931A4974740;2.61915930329429;47.1846982808244;671160.005620368;6676115.24542412;2154;38
1.03130649971441;47.4561680904887;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;37131;LIMERAY;1;1;2;1;1;20.1;0.1;70.8;7.9;5.1;0101000020E6100000C782743E3B80F03F4D7C4AB763BA4740;1.03130649944812;47.4561680902194;551684.448082824;6708050.20767736;2154;39
1.95271452780609;48.0846442723043;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;45330;TRINAY;1;1;2;1;1;18.1;0;67.1;9.2;5.8;0101000020E61000001262C296513EFF3FF48E9E9FD50A4840;1.95271452799182;48.0846442722522;622020.690752091;6776546.87544465;2154;40
2.39323436265754;46.9303757665941;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;18126;LEVET;1;1;2;1;1;19;0;64.4;6.5;3.7;0101000020E6100000F29DAF0E5825034002D6988D16774740;2.39323436234894;46.9303757663984;653835.276615036;6647974.98440704;2154;41
2.0319169463329;46.8617620829553;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;36181;SAINT-AUBIN;1;1;2;1;1;19;0;64.7;6.6;3.8;0101000020E610000090B005AC5D410040E2404E384E6E4740;2.03191694633831;46.8617620832536;626252.557024277;6640628.82559665;2154;42
0.913783532201954;47.8442983104516;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;41090;FORTAN;1;1;2;1;1;17.5;0;69.9;7.9;5;0101000020E610000021B278F6B63DED3F072F90F711EC4740;0.913783532514177;47.8442983106634;543971.995083899;6751383.82192148;2154;43
1.23797763103251;47.6758596715377;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;41040;LA CHAPELLE-VENDOMOISE;1;1;2;1;1;14.9;0;70.2;8.2;5;0101000020E610000089CBECA1C1CEF33FBA70D89182D64740;1.23797763111063;47.6758596712911;567796.39183138;6732083.04125425;2154;44
1.82278383824823;47.9170851491917;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;45169;INGRE;1;1;2;1;1;17.8;0.2;69.1;9.1;5.6;0101000020E610000054B8BE621F2AFD3FF941D20B63F54740;1.8227838380076;47.9170851494454;612069.488834013;6758065.79946286;2154;45
0.559778815515076;47.0346244890707;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;37174;NOUATRE;1;1;2;1;1;17.7;0;69.3;8.7;5.5;0101000020E6100000EEFE0943B5E9E13F0E4244936E844740;0.559778815208089;47.0346244891444;514724.816767306;6662239.19687136;2154;46
1.35234482593498;47.7383586027293;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;41130;MAVES;1;1;2;1;1;16.3;0;69.6;8.3;5;0101000020E61000005356195434A3F53FE642E28882DE4740;1.35234482623254;47.7383586029808;576521.09605612;6738839.57559921;2154;47
1.54061276491541;48.6936191991586;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;28343;SAINT-LAURENT-LA-GATINE;1;1;2;1;1;17.1;0.1;73.3;9.6;5.9;0101000020E61000006FD80E9259A6F83F9CBB9083C8584840;1.54061276487257;48.6936191994384;592590.491607487;6844711.52625189;2154;48
0.260970325977763;47.5597468051018;2022/11/09 00:00:00+00;2;Moyen;#50ccaa;2022/11/08 00:00:00+00;Lig'Air;COMMUNE;37036;BRAYE-SUR-MAULNE;1;1;2;1;1;21.1;0.1;73.8;9.8;6.5;0101000020E61000005627BDE1BCB3D03F3EBA86C8A5C74740;0.260970325897337;47.5597468049859;494068.928732692;6721280.06664904;2154;49
