City,Coordinates,Pollutant,Unit,Value,Last Updated,Country Label
Marne,"49.3491275183707, 4.06959281588246",O3,µg/m³,62.8,2018-01-05T13:00:00+01:00,France
Puy-de-Dôme,"45.5449339994633, 3.247649",O3,µg/m³,22.2,2017-12-20T10:00:00+01:00,France
Doubs,"47.5103033076458, 6.79400340956015",O3,µg/m³,65.9,2023-02-27T06:00:00+01:00,France
Pas-de-Calais,"50.7482369340289, 2.25978396242539",O3,µg/m³,37.9,2023-02-27T06:00:00+01:00,France
Eure,"49.0213216111601, 1.14831642768998",PM10,µg/m³,6.2,2023-02-27T06:00:00+01:00,France
Haute-Garonne,"43.587192917729, 1.44388910562383",PM2.5,µg/m³,2.2,2023-02-27T06:00:00+01:00,France
Haute-Garonne,"43.587192917729, 1.44388910562383",O3,µg/m³,61.0,2023-02-27T06:00:00+01:00,France
Nord,"51.0485717254673, 2.42004340911231",PM2.5,µg/m³,3.7,2023-02-27T06:00:00+01:00,France
Bouches-du-Rhône,"43.4022486696243, 4.98221826247801",PM10,µg/m³,8.4,2023-02-27T05:00:00+01:00,France
Seine-Maritime,"49.5036126805035, 0.266872402921512",SO2,µg/m³,1.6,2023-02-27T06:00:00+01:00,France
Aube,"48.2949796949513, 4.05027903727389",O3,µg/m³,36.1,2023-02-06T10:00:00+01:00,France
Haute-Marne,"48.6458392908865, 4.96611146943374",O3,µg/m³,62.0,2023-02-27T06:00:00+01:00,France
Jura,"47.0967471994749, 5.4963869816495",PM10,µg/m³,8.2,2023-02-27T05:00:00+01:00,France
Vosges,"48.0510983887634, 7.01111723057899",SO2,µg/m³,1.0,2019-08-09T12:00:00+02:00,France
Orne,"48.6450083458689, -0.458333034371758",PM10,µg/m³,5.2,2023-02-27T06:00:00+01:00,France
Calvados,"49.1472284204992, 0.22722166459576",O3,µg/m³,45.0,2023-02-27T06:00:00+01:00,France
Moselle,"49.3583143914495, 6.15694515952111",PM10,µg/m³,6.6,2023-02-27T06:00:00+01:00,France
Doubs,"47.2474002555546, 6.01541558650808",NO2,µg/m³,5.6,2023-02-27T06:00:00+01:00,France
Drôme,"44.9335095989709, 4.89348267871268",O3,µg/m³,55.2,2023-02-27T06:00:00+01:00,France
Oise,"49.435953836447, 2.0842890885198",NO2,µg/m³,10.4,2023-02-27T06:00:00+01:00,France
Landes,"43.8960516305414, -0.490616689052445",PM10,µg/m³,5.1,2023-02-27T05:00:00+01:00,France
Calvados,"49.1922184284462, -0.391183068568539",PM10,µg/m³,7.6,2023-02-27T06:00:00+01:00,France
Yonne,"47.8005658610427, 3.57639077544232",PM10,µg/m³,6.9,2023-02-27T05:00:00+01:00,France
Saône-et-Loire,"46.7824722190452, 4.84726435734473",PM2.5,µg/m³,19.9,2023-02-27T05:00:00+01:00,France
Isère,"45.4545046018544, 4.76652377960807",O3,µg/m³,63.0,2023-02-27T06:00:00+01:00,France
Gironde,"45.0122487032917, -0.528333354571487",NO2,µg/m³,3.5,2023-02-27T06:00:00+01:00,France
Meuse,"49.0658373075805, 5.78555467160757",PM2.5,µg/m³,7.2,2023-02-27T05:00:00+01:00,France
Haute-Savoie,"45.9236343183621, 6.71361317478429",O3,µg/m³,29.0,2023-02-27T06:00:00+01:00,France
Pas-de-Calais,"50.949863820006, 1.76916907000351",O3,µg/m³,50.8,2023-02-27T06:00:00+01:00,France
Pyrénées-Atlantiques,"43.3108061209975, -0.39111120334581",NO2,µg/m³,4.6,2023-02-27T06:00:00+01:00,France
Corrèze,"45.1587617596045, 1.53722406364385",NO2,µg/m³,4.2,2023-02-27T06:00:00+01:00,France
Seine-Maritime,"49.4424377204107, 1.09368987526268",NO2,µg/m³,13.2,2023-02-27T06:00:00+01:00,France
Indre-et-Loire,"47.3946463856954, 0.704872969152508",PM2.5,µg/m³,4.0,2023-02-27T05:00:00+01:00,France
Indre-et-Loire,"47.3946463856954, 0.704872969152508",NO2,µg/m³,8.7,2023-02-27T06:00:00+01:00,France
Seine-Saint-Denis,"48.902477279391, 2.45249954032755",NO2,µg/m³,19.0,2023-02-27T06:00:00+01:00,France
Seine-Maritime,"49.4933443610071, 0.571853136825942",CO,µg/m³,73.0,2023-02-27T06:00:00+01:00,France
Loire-Atlantique,"47.3241193225005, -2.08156719320891",NO2,µg/m³,6.6,2021-03-23T03:00:00+01:00,France
Moselle,"49.1657344827801, 6.71688304241849",PM10,µg/m³,9.7,2023-02-27T02:00:00+01:00,France
Mayenne,"47.787711631788, -0.444044431462552",PM10,µg/m³,21.7,2023-02-26T10:00:00+01:00,France
Gard,"43.8298582669199, 4.36198545771053",NO2,µg/m³,43.7,2023-02-24T16:00:00+01:00,France
Ille-et-Vilaine,"48.1108129462492, -1.68282300489394",NO2,µg/m³,16.5,2022-12-01T13:00:00+01:00,France
Allier,"46.6590571322097, 3.2493141804944",NO2,µg/m³,23.7,2021-01-08T08:00:00+01:00,France
Moselle,"49.1688475216756, 6.21266765659504",SO2,µg/m³,0.0,2020-12-29T12:00:00+01:00,France
Moselle,"49.1311139994689, 6.207225",SO2,µg/m³,2.7,2020-03-24T11:00:00+01:00,France
Moselle,"49.1311139994689, 6.207225",PM10,µg/m³,0.0,2020-03-24T13:00:00+01:00,France
Meuse,"48.5492988706458, 5.46068793225859",SO2,µg/m³,1.2,2019-05-02T13:00:00+02:00,France
Pyrénées-Atlantiques,"43.307777999464, -0.322778",O3,µg/m³,27.4,2019-01-21T11:00:00+01:00,France
Vienne,"46.570002999464, 0.323575",PM10,µg/m³,33.7,2018-12-10T08:00:00+01:00,France
Territoire de Belfort,"47.6307308141128, 6.85903245297756",NO2,µg/m³,13.95,2017-04-07T12:00:00+02:00,France
