City,Coordinates,Pollutant,Unit,Value,Last Updated,Country Label
Meuse,"49.0658373075805, 5.78555467160757",SO2,µg/m³,0.9,2023-02-27T06:00:00+01:00,France
Landes,"43.7047196490079, -1.03861416519331",PM2.5,µg/m³,6.3,2023-02-27T06:00:00+01:00,France
Pas-de-Calais,"50.449166359944, 2.90000428226453",NO2,µg/m³,12.8,2023-02-27T06:00:00+01:00,France
Rhône,"45.753280414108, 5.07220250448826",O3,µg/m³,62.1,2023-02-27T06:00:00+01:00,France
Corrèze,"45.1587617596045, 1.53722406364385",PM10,µg/m³,4.0,2023-02-27T06:00:00+01:00,France
Eure-et-Loir,"48.3911695951651, 1.95562339037536",NO2,µg/m³,6.0,2023-02-27T06:00:00+01:00,France
Loir-et-Cher,"47.5945165359368, 1.30173969506476",NO2,µg/m³,6.0,2023-02-27T06:00:00+01:00,France
Martinique,"14.6142191379678, -61.0530999698992",NO2,µg/m³,27.3,2019-04-13T02:00:00+02:00,France
Paris,"48.8386033565984, 2.41278502161662",PM2.5,µg/m³,9.8,2023-02-27T05:00:00+01:00,France
Paris,"48.8303842339911, 2.26989000937173",NO2,µg/m³,15.2,2023-02-27T06:00:00+01:00,France
Paris,"48.8688664798191, 2.31194014782137",PM10,µg/m³,29.0,2022-12-29T15:00:00+01:00,France
Val-d'Oise,"49.0630709589742, 1.86638475005092",PM10,µg/m³,11.7,2023-02-27T05:00:00+01:00,France
Seine-et-Marne,"48.8402588440243, 2.63527975118735",NO2,µg/m³,11.3,2023-02-27T06:00:00+01:00,France
Vaucluse,"43.8800605564821, 5.36250207170432",O3,µg/m³,34.7,2023-02-27T06:00:00+01:00,France
Yvelines,"48.7991511040226, 2.13055232565195",O3,µg/m³,49.6,2023-02-27T06:00:00+01:00,France
Var,"43.3987241550087, 6.07610576710319",PM10,µg/m³,9.3,2023-02-27T05:00:00+01:00,France
Cher,"47.0828022774875, 2.40532900475843",PM2.5,µg/m³,3.8,2023-02-27T05:00:00+01:00,France
Cher,"47.0750331280192, 2.40717953424372",PM10,µg/m³,3.0,2023-02-27T03:00:00+01:00,France
Reunion,"-20.9497682891053, 55.3138534511879",SO2,µg/m³,1.7,2023-02-27T04:00:00+01:00,France
Loire-Atlantique,"47.247461236221, -1.93661503896339",SO2,µg/m³,-1.1,2023-02-27T03:00:00+01:00,France
Maine-et-Loire,"47.4474038827753, -0.550067194555475",O3,µg/m³,59.2,2023-02-27T03:00:00+01:00,France
Loire-Atlantique,"47.2530711571959, -2.33207139333848",O3,µg/m³,65.1,2023-02-27T03:00:00+01:00,France
Corse-du-Sud,"41.924656325342, 8.73569392987881",O3,µg/m³,72.6,2023-02-27T03:00:00+01:00,France
Haute-Corse,"42.5357955222631, 9.47596860606318",NO2,µg/m³,2.4,2023-02-27T03:00:00+01:00,France
Saône-et-Loire,"46.8022145735861, 4.41750134226911",O3,µg/m³,25.2,2021-12-31T01:00:00+01:00,France
Seine-Maritime,"49.4280668762657, 1.05777523020358",SO2,µg/m³,0.7,2020-12-30T11:00:00+01:00,France
Moselle,"49.1688475216756, 6.21266765659504",NO2,µg/m³,6.3,2019-07-10T12:00:00+02:00,France
Bouches-du-Rhône,"43.5850029994637, 5.006389",PM10,µg/m³,11.5,2020-01-22T12:00:00+01:00,France
Charente,"45.6088219994633, 0.099722",O3,µg/m³,45.1,2020-01-13T11:00:00+01:00,France
Gironde,"44.7224999994632, -0.576111",O3,µg/m³,47.7,2019-01-31T13:00:00+01:00,France
Rhône,"45.7316999994634, 4.9803",NO2,µg/m³,3.78,2018-08-23T14:00:00+02:00,France
Ille-et-Vilaine,"48.6549969994677, -1.994167",NO2,µg/m³,3.8,2018-04-25T16:00:00+02:00,France
Martinique,"14.6661999997358, -61.1501",PM10,µg/m³,9.85,2018-04-25T06:00:00+02:00,France
Pas-de-Calais,"50.9508329994749, 1.8425",SO2,µg/m³,0.23,2018-04-22T19:00:00+02:00,France
Nord,"50.438677999473, 3.433458",O3,µg/m³,61.5,2018-04-25T02:00:00+02:00,France
Nord,"51.0112059994752, 2.293056",SO2,µg/m³,0.75,2018-04-24T15:00:00+02:00,France
Indre,"46.7983329994643, 1.693819",NO2,µg/m³,2.35,2018-04-25T02:00:00+02:00,France
Puy-de-Dôme,"45.7646669994634, 3.047194",NO2,µg/m³,2.4,2017-12-31T19:00:00+01:00,France
Martinique,"14.6660999997358, -61.1518",PM2.5,µg/m³,12.6,2017-12-31T15:00:00+01:00,France
Drôme,"44.9489219994632, 4.889881",PM10,µg/m³,13.1,2017-12-08T15:00:00+01:00,France
ATMO NORD-PAS-DE-CALAIS,"51.0338297678657, 2.33519753052722",NO2,µg/m³,21.63,2017-03-07T12:00:00+01:00,France
Rhône,"45.7748381342459, 4.89857612637364",NO2,µg/m³,24.3,2023-02-27T06:00:00+01:00,France
Saône-et-Loire,"46.6666401423631, 4.36666568034079",PM10,µg/m³,3.7,2023-02-27T05:00:00+01:00,France
Saône-et-Loire,"46.6666401423631, 4.36666568034079",O3,µg/m³,68.9,2023-02-27T06:00:00+01:00,France
Doubs,"47.5103033076458, 6.79400340956015",PM2.5,µg/m³,2.3,2023-02-27T05:00:00+01:00,France
Hérault,"43.2877277836684, 3.50483097990936",NO2,µg/m³,2.4,2023-02-27T06:00:00+01:00,France
Hérault,"43.6116532546387, 3.86472303218616",NO2,µg/m³,16.9,2023-02-27T06:00:00+01:00,France
Gironde,"44.9003038561871, -0.514722081386508",SO2,µg/m³,1.5,2023-02-27T06:00:00+01:00,France
Somme,"49.9025136027366, 2.30460091195011",PM2.5,µg/m³,4.4,2023-02-27T06:00:00+01:00,France
Rhône,"45.7200501800957, 4.81815894213926",PM10,µg/m³,8.6,2023-02-27T05:00:00+01:00,France
Nord,"50.2793750793217, 3.97691362801985",NO2,µg/m³,8.8,2023-02-27T06:00:00+01:00,France
Hautes-Pyrénées,"43.0969481158716, -0.0388889669648182",PM2.5,µg/m³,4.7,2023-02-27T06:00:00+01:00,France
Isère,"45.3601559563041, 5.58941651247292",NO2,µg/m³,16.1,2023-02-27T06:00:00+01:00,France
Pas-de-Calais,"50.5354044876555, 2.63569297621804",O3,µg/m³,43.0,2023-02-27T06:00:00+01:00,France
Drôme,"44.9335095989709, 4.89348267871268",PM2.5,µg/m³,3.7,2023-02-27T06:00:00+01:00,France
Nord,"50.6700180248232, 3.07655916820538",PM10,µg/m³,17.6,2023-02-20T08:00:00+01:00,France
Nord,"50.378240795397, 3.06586023317151",O3,µg/m³,47.4,2023-02-27T06:00:00+01:00,France
Isère,"45.4608687180178, 5.18107831692355",NO2,µg/m³,2.0,2023-02-27T06:00:00+01:00,France
Doubs,"47.2946392167447, 6.82585766953502",O3,µg/m³,61.1,2023-02-24T11:00:00+01:00,France
Haute-Vienne,"45.8699934537509, 1.31000419567866",PM10,µg/m³,4.4,2023-02-27T05:00:00+01:00,France
Savoie,"45.5647352384336, 5.92833290286553",PM10,µg/m³,8.5,2023-02-27T06:00:00+01:00,France
Pyrénées-Atlantiques,"43.4797361162024, -1.48805926814399",O3,µg/m³,63.6,2023-02-27T06:00:00+01:00,France
Loire,"45.4752955881989, 4.51500448320744",PM10,µg/m³,4.8,2023-02-27T06:00:00+01:00,France
Haute-Vienne,"45.8758101772, 0.823888964514935",PM10,µg/m³,9.1,2023-02-27T05:00:00+01:00,France
Drôme,"45.0424700107563, 5.04430083176351",O3,µg/m³,55.2,2023-02-27T06:00:00+01:00,France
Charente-Maritime,"46.1625559994637, -1.153603",NO2,µg/m³,6.3,2023-02-27T06:00:00+01:00,France
Morbihan,"47.742485358103, -3.3948053239104",PM2.5,µg/m³,5.1,2023-02-27T06:00:00+01:00,France
Martinique,"14.6107421035951, -61.0026146509316",PM10,µg/m³,9.7,2023-02-27T06:00:00+01:00,France
Sainte-Luce,"14.4688323314949, -60.9274256616508",NO2,µg/m³,0.6,2023-02-27T06:00:00+01:00,France
Seine-et-Marne,"48.5280649624323, 2.65361436613623",PM2.5,µg/m³,5.1,2023-02-27T05:00:00+01:00,France
Seine-Saint-Denis,"48.9252654190423, 2.35666726581768",PM2.5,µg/m³,9.4,2023-02-27T05:00:00+01:00,France
Alpes-Maritimes,"43.7020570445023, 7.28626221895196",O3,µg/m³,66.4,2023-02-27T06:00:00+01:00,France
Alpes-Maritimes,"43.7020570445023, 7.28626221895196",PM2.5,µg/m³,1.1,2023-02-27T06:00:00+01:00,France
Bouches-du-Rhône,"43.5302972250095, 5.44138313680286",PM2.5,µg/m³,5.7,2023-02-27T05:00:00+01:00,France
Alpes-de-Haute-Provence,"43.9335199525261, 5.71170417210011",NO2,µg/m³,-2.5,2023-02-24T08:00:00+01:00,France
Essonne,"48.6794217459452, 2.16555967227409",O3,µg/m³,60.2,2023-02-27T06:00:00+01:00,France
Alpes-Maritimes,"43.5625273554356, 7.00721854224592",O3,µg/m³,58.9,2023-02-27T06:00:00+01:00,France
Essonne,"48.6409127739739, 2.26872219950238",PM2.5,µg/m³,9.1,2023-02-27T05:00:00+01:00,France
Saint-Pierre,"-21.3344236402583, 55.4590212011017",O3,µg/m³,3.8,2023-02-27T04:00:00+01:00,France
Loire-Atlantique,"47.3191868140786, -2.06695160353629",SO2,µg/m³,0.6,2023-02-27T03:00:00+01:00,France
Mayenne,"48.0694102184996, -0.767692156970986",NO2,µg/m³,7.5,2023-02-27T03:00:00+01:00,France
Maine-et-Loire,"47.4301480322392, -0.610063875751249",O3,µg/m³,64.1,2023-02-27T03:00:00+01:00,France
Sarthe,"47.9710503785717, 0.221422141121484",O3,µg/m³,61.2,2023-02-27T03:00:00+01:00,France
Vendée,"46.6607217865267, -1.43682834749065",NO2,µg/m³,4.3,2023-02-27T03:00:00+01:00,France
Mayenne,"47.787711631788, -0.444044431462552",O3,µg/m³,62.1,2023-02-27T03:00:00+01:00,France
Haute-Corse,"42.6713433605323, 9.43464610299369",NO2,µg/m³,1.0,2023-02-27T03:00:00+01:00,France
French Guiana,"4.93784416911561, -52.3209364190869",O3,µg/m³,51.2,2023-01-27T04:00:00+01:00,France
Haute-Corse,"42.6978893718847, 9.44641403321565",SO2,µg/m³,1.8,2023-02-26T15:00:00+01:00,France
Finistère,"47.9961238147632, -4.09972231051183",PM10,µg/m³,24.6,2023-01-01T00:00:00+01:00,France
Loiret,"47.9173751802827, 1.96625944333933",PM2.5,µg/m³,3.9,2022-12-31T01:00:00+01:00,France
Oise,"49.2763912615378, 2.48217089416201",O3,µg/m³,16.8,2022-01-21T09:00:00+01:00,France
Nord,"50.6280389569951, 3.09031237520525",NO2,µg/m³,9.9,2022-01-01T01:00:00+01:00,France
Loire-Atlantique,"47.3315476635576, -2.1516268022174",SO2,µg/m³,-2.0,2021-07-14T18:00:00+02:00,France
Guadeloupe,"16.2506693657737, -61.5279494290847",PM10,µg/m³,64.0,2021-06-15T07:00:00+02:00,France
Guadeloupe,"16.2506693657737, -61.5279494290847",NO2,µg/m³,0.9,2021-06-15T11:00:00+02:00,France
Vosges,"48.0246097658125, 6.58583680877113",NO2,µg/m³,9.1,2021-04-09T06:00:00+02:00,France
Moselle,"49.1183686741167, 7.08353940878471",PM10,µg/m³,44.0,2021-02-09T09:00:00+01:00,France
Côte-d'Or,"47.1372157133461, 4.95057959817132",NO2,µg/m³,7.6,2021-01-01T01:00:00+01:00,France
Nord,"50.5320309994734, 2.839",O3,µg/m³,60.4,2017-06-29T14:00:00+02:00,France
Pas-de-Calais,"50.6938919994739, 1.576389",PM10,µg/m³,9.53,2018-04-25T02:00:00+02:00,France
Drôme,"44.9489219994632, 4.889881",PM2.5,µg/m³,7.4,2017-12-08T15:00:00+01:00,France
Hérault,"43.4282193232058, 3.6035558296341",PM10,µg/m³,37.5,2017-12-08T07:00:00+01:00,France
ORA,"-20.9985861312403, 55.2806157856755",NO2,µg/m³,18.88,2017-07-17T11:00:00+02:00,France
ORAMIP,"43.6197177810104, 1.34749987563781",O3,µg/m³,4.6,2017-04-12T09:00:00+02:00,France
ATMO NORD-PAS-DE-CALAIS,"50.9959649491633, 2.21466158570406",SO2,µg/m³,2.05,2017-03-28T18:00:00+02:00,France
Drôme,"44.5694309830826, 5.27896773343405",PM10,µg/m³,4.6,2023-02-27T06:00:00+01:00,France
Rhône,"45.7748381342459, 4.89857612637364",PM10,µg/m³,10.5,2023-02-27T05:00:00+01:00,France
Côtes-d'Armor,"48.5134875186338, -2.74952748902167",O3,µg/m³,52.5,2023-02-27T06:00:00+01:00,France
Orne,"48.4455430112667, 0.110833241439382",NO2,µg/m³,6.1,2023-02-27T06:00:00+01:00,France
Orne,"48.4455430112667, 0.110833241439382",PM2.5,µg/m³,4.7,2023-02-27T06:00:00+01:00,France
Allier,"46.6526446514876, 3.60066325441923",NO2,µg/m³,2.3,2023-02-27T06:00:00+01:00,France
Meurthe-et-Moselle,"48.6149070395641, 6.10767256618715",PM10,µg/m³,9.4,2023-02-27T06:00:00+01:00,France
Nord,"51.0485717254673, 2.42004340911231",SO2,µg/m³,0.0,2017-03-28T16:00:00+02:00,France
Alpes-Maritimes,"43.7866180712972, 7.37328202052462",PM10,µg/m³,6.9,2023-02-27T06:00:00+01:00,France
Marne,"49.2821930185986, 4.05111447048812",PM10,µg/m³,7.1,2023-02-27T05:00:00+01:00,France
Pas-de-Calais,"50.9577862878515, 1.890082307246",CO,µg/m³,12.5,2017-05-02T16:00:00+02:00,France
Ain,"46.2116413286108, 5.22638933985453",PM10,µg/m³,4.7,2023-02-27T06:00:00+01:00,France
Meurthe-et-Moselle,"48.5848471999281, 6.48389599032925",NO2,µg/m³,7.3,2023-02-27T06:00:00+01:00,France
Savoie,"45.5966749434882, 5.91861313149136",O3,µg/m³,54.8,2023-02-27T06:00:00+01:00,France
Vienne,"46.5839094193576, 0.34555583865754",NO2,µg/m³,4.6,2023-02-27T06:00:00+01:00,France
Vienne,"46.5839094193576, 0.34555583865754",CO,µg/m³,244.0,2023-02-27T06:00:00+01:00,France
Somme,"49.8772223332028, 2.28250235596077",PM10,µg/m³,24.73,2018-01-05T11:00:00+01:00,France
Gironde,"44.8005714966263, -0.588056049605605",PM2.5,µg/m³,6.2,2023-02-27T06:00:00+01:00,France
Nièvre,"47.2750173101874, 4.09832992182145",O3,µg/m³,71.2,2023-02-27T06:00:00+01:00,France
Isère,"45.1619288830485, 5.73559935865769",PM10,µg/m³,12.0,2023-02-27T06:00:00+01:00,France
Meuse,"49.0658373075805, 5.78555467160757",NO2,µg/m³,9.0,2023-02-27T01:00:00+01:00,France
Pas-de-Calais,"50.449166359944, 2.90000428226453",PM10,µg/m³,29.9,2023-02-08T17:00:00+01:00,France
Savoie,"45.2747219994632, 6.349722",NO2,µg/m³,-3.4,2023-02-26T22:00:00+01:00,France
Charente-Maritime,"46.1625559994637, -1.153603",PM2.5,µg/m³,6.2,2023-02-27T05:00:00+01:00,France
Bouches-du-Rhône,"43.52404453793, 5.44957577219403",NO2,µg/m³,27.8,2023-02-27T06:00:00+01:00,France
Reunion,"-21.3129174283948, 55.4742027294033",O3,µg/m³,15.2,2023-02-27T06:00:00+01:00,France
Eure-et-Loir,"48.760911372973, 1.2336473965285",PM10,µg/m³,16.8,2023-02-27T05:00:00+01:00,France
Indre,"46.8645307043583, 1.77195384738428",O3,µg/m³,59.3,2023-02-27T06:00:00+01:00,France
Eure-et-Loir,"48.7314125600919, 1.36388514642015",O3,µg/m³,56.9,2023-02-27T06:00:00+01:00,France
Eure-et-Loir,"48.4444108249153, 1.51014884098049",PM10,µg/m³,6.4,2023-02-27T06:00:00+01:00,France
Martinique,"14.6780998386226, -60.9391037603444",NO2,µg/m³,2.8,2023-02-27T06:00:00+01:00,France
Morbihan,"47.648889066211, -2.76389155041474",PM10,µg/m³,7.4,2023-02-27T06:00:00+01:00,France
Hauts-de-Seine,"48.8913746283318, 2.24056001534523",NO2,µg/m³,18.8,2023-02-27T06:00:00+01:00,France
Essonne,"48.6271990910851, 2.42917029239896",NO2,µg/m³,12.6,2023-02-27T06:00:00+01:00,France
Bouches-du-Rhône,"43.3060996358468, 5.39579363613379",SO2,µg/m³,0.2,2023-02-27T06:00:00+01:00,France
Alpes-Maritimes,"43.5997495987433, 7.094723434072",O3,µg/m³,60.6,2023-02-27T06:00:00+01:00,France
Vaucluse,"43.9601669829441, 4.85720870753994",NO2,µg/m³,9.5,2023-02-27T06:00:00+01:00,France
Seine-Saint-Denis,"48.9555351245183, 2.575281273361",PM10,µg/m³,9.4,2023-02-27T06:00:00+01:00,France
Meurthe-et-Moselle,"48.6963231696882, 6.14612046034746",PM2.5,µg/m³,2.2,2023-02-27T05:00:00+01:00,France
Aisne,"49.851338603768, 3.28399813361426",NO2,µg/m³,10.4,2023-02-27T05:00:00+01:00,France
Haute-Corse,"42.2360870106484, 9.19003485112794",PM2.5,µg/m³,7.1,2023-02-27T05:00:00+01:00,France
Cher,"47.0828022774875, 2.40532900475843",O3,µg/m³,62.8,2023-02-27T05:00:00+01:00,France
Loire-Atlantique,"47.3241193225005, -2.08156719320891",SO2,µg/m³,1.1,2023-02-27T03:00:00+01:00,France
Loire-Atlantique,"47.2641063324592, -2.24985757853587",PM10,µg/m³,9.0,2023-02-27T03:00:00+01:00,France
Moselle,"49.394460064023, 6.20139379977934",NO2,µg/m³,5.9,2020-02-18T10:00:00+01:00,France
Haut-Rhin,"47.8021950433058, 7.12284070246494",SO2,µg/m³,0.0,2023-02-26T19:00:00+01:00,France
Charente,"45.6474392468374, 0.167166592906518",PM10,µg/m³,10.4,2023-02-25T09:00:00+01:00,France
Var,"43.1197053027864, 6.1318013147186",PM10,µg/m³,7.0,2023-01-11T07:00:00+01:00,France
Ille-et-Vilaine,"48.0896957195876, -1.65902663301761",PM10,µg/m³,12.0,2022-12-14T15:00:00+01:00,France
Oise,"49.2763912615378, 2.48217089416201",NO2,µg/m³,38.7,2022-01-21T09:00:00+01:00,France
Meurthe-et-Moselle,"48.6333389994676, 6.304828",SO2,µg/m³,5.1,2020-03-26T13:00:00+01:00,France
Meuse,"48.5492988706458, 5.46068793225859",CO,µg/m³,133.0,2019-05-02T13:00:00+02:00,France
Haute-Corse,"42.7000969994648, 9.451769",NO2,µg/m³,11.6,2018-12-31T05:00:00+01:00,France
Indre,"46.7983329994643, 1.693819",PM10,µg/m³,30.63,2018-04-25T02:00:00+02:00,France
Nord,"50.3666639994728, 3.082778",PM2.5,µg/m³,1.3,2018-04-25T02:00:00+02:00,France
ATMO HAUTS DE FRANCE,"50.9959649491633, 2.36627025620491",NO2,µg/m³,23.93,2017-07-18T22:00:00+02:00,France
ATMO NORD-PAS-DE-CALAIS,"51.0338297678657, 2.33519753052722",SO2,µg/m³,2.1,2017-03-07T12:00:00+01:00,France
Deux-Sèvres,"46.143157104954, -0.396042055940342",NO2,µg/m³,4.5,2023-02-27T06:00:00+01:00,France
Haute-Savoie,"46.0722194476777, 5.82083151281495",O3,µg/m³,64.0,2023-02-27T06:00:00+01:00,France
Bouches-du-Rhône,"43.4588738424815, 4.93416737793045",O3,µg/m³,35.75,2017-12-29T11:00:00+01:00,France
Moselle,"48.6947222254215, 6.96527620163037",PM10,µg/m³,6.8,2023-02-27T06:00:00+01:00,France
Eure,"49.4737352224874, 0.52615763495335",SO2,µg/m³,2.6,2023-02-27T06:00:00+01:00,France
Jura,"47.0967471994749, 5.4963869816495",O3,µg/m³,61.7,2023-02-27T06:00:00+01:00,France
Pyrénées-Orientales,"42.6957766720916, 2.89969885506793",O3,µg/m³,65.5,2023-02-27T06:00:00+01:00,France
Landes,"43.8383470414065, -0.810832850175542",PM10,µg/m³,4.7,2023-02-27T05:00:00+01:00,France
Nord,"50.7065553864362, 3.18065594332915",NO2,µg/m³,25.2,2023-02-27T06:00:00+01:00,France
Nord,"50.7065553864362, 3.18065594332915",PM10,µg/m³,10.0,2023-02-27T06:00:00+01:00,France
Nord,"50.3227545101591, 3.39592821801555",O3,µg/m³,43.9,2023-02-27T06:00:00+01:00,France
Bas-Rhin,"48.4930125168175, 7.12980264591687",O3,µg/m³,59.5,2023-02-27T06:00:00+01:00,France
Lot-et-Garonne,"44.5086670422713, 0.142503346781016",PM10,µg/m³,9.6,2023-02-27T05:00:00+01:00,France
Ain,"45.8232499457644, 4.95395726363961",PM10,µg/m³,7.0,2023-02-27T05:00:00+01:00,France
Gironde,"44.8005714966263, -0.588056049605605",PM10,µg/m³,7.6,2023-02-27T06:00:00+01:00,France
Côte-d'Or,"47.340253323593, 5.05833251650146",NO2,µg/m³,5.4,2023-02-27T06:00:00+01:00,France
Nièvre,"47.2750173101874, 4.09832992182145",NO2,µg/m³,1.9,2023-02-27T06:00:00+01:00,France
Côte-d'Or,"47.3455490718848, 5.00222374385535",O3,µg/m³,72.6,2023-02-27T06:00:00+01:00,France
Isère,"45.3677929543811, 4.80515133682521",O3,µg/m³,65.5,2023-02-27T06:00:00+01:00,France
Loire,"46.0411126454327, 4.0746593140849",NO2,µg/m³,6.2,2023-02-27T06:00:00+01:00,France
Bas-Rhin,"48.5904327918195, 7.7449869187876",NO2,µg/m³,9.7,2023-02-27T06:00:00+01:00,France
Loire,"45.4752955881989, 4.51500448320744",PM2.5,µg/m³,3.3,2023-02-27T06:00:00+01:00,France
Nord,"50.775454911905, 3.12567904794103",O3,µg/m³,34.7,2023-02-27T06:00:00+01:00,France
Bouches-du-Rhône,"43.3480529322015, 5.36065154221904",PM2.5,µg/m³,8.7,2023-02-27T06:00:00+01:00,France
Loiret,"47.9589602713218, 2.00928874544866",O3,µg/m³,58.0,2023-02-27T06:00:00+01:00,France
Loiret,"47.9070790612744, 1.90114056839351",PM10,µg/m³,6.3,2023-02-27T05:00:00+01:00,France
Loir-et-Cher,"47.5945165359368, 1.30173969506476",PM10,µg/m³,4.9,2023-02-27T06:00:00+01:00,France
Schoelcher,"14.6163922565127, -61.1008005114859",PM2.5,µg/m³,2.3,2023-02-27T06:00:00+01:00,France
Morbihan,"47.648889066211, -2.76389155041474",NO2,µg/m³,6.9,2023-02-27T06:00:00+01:00,France
Paris,"48.8916699435252, 2.34666901670543",PM2.5,µg/m³,6.2,2023-02-27T06:00:00+01:00,France
Hautes-Alpes,"44.5486285541342, 6.06730227731882",PM10,µg/m³,29.7,2023-02-27T05:00:00+01:00,France
Hautes-Alpes,"44.5552221289565, 6.07306047829002",PM10,µg/m³,26.5,2023-02-27T05:00:00+01:00,France
Val-de-Marne,"48.7757726857746, 2.37580138136942",SO2,µg/m³,1.2,2022-01-27T11:00:00+01:00,France
Yvelines,"48.6337298811595, 1.83053298706171",O3,µg/m³,55.4,2023-02-27T06:00:00+01:00,France
Val-d'Oise,"49.1002566324166, 2.3438932224775",O3,µg/m³,49.3,2023-02-27T06:00:00+01:00,France
Bouches-du-Rhône,"43.3060996358468, 5.39579363613379",PM2.5,µg/m³,8.9,2023-02-27T06:00:00+01:00,France
Seine-et-Marne,"48.3547092558406, 2.64529596660528",PM2.5,µg/m³,7.4,2023-02-27T05:00:00+01:00,France
Calvados,"49.348015614794, 0.109253104854616",O3,µg/m³,63.4,2023-02-27T06:00:00+01:00,France
Seine-Maritime,"49.5146953797856, 0.100645447802183",PM10,µg/m³,6.2,2023-02-27T06:00:00+01:00,France
Seine-Saint-Denis,"48.9555351245183, 2.575281273361",O3,µg/m³,46.0,2023-02-27T06:00:00+01:00,France
Seine-Maritime,"49.4982939994699, 0.758833",O3,µg/m³,65.6,2023-02-27T06:00:00+01:00,France
Yvelines,"48.5819353168103, 1.88333595946226",O3,µg/m³,62.2,2023-02-27T06:00:00+01:00,France
Bouches-du-Rhône,"43.510559975903, 5.21972384044637",O3,µg/m³,102.0,2018-06-26T00:00:00+02:00,France
Saint-Pierre,"-21.3344236402583, 55.4590212011017",PM2.5,µg/m³,4.0,2023-02-27T02:00:00+01:00,France
Vendée,"46.6567141985683, -0.743681087741755",NO2,µg/m³,6.1,2023-02-27T03:00:00+01:00,France
Loire-Atlantique,"47.2527662854558, -1.57333633806545",PM2.5,µg/m³,4.4,2023-02-27T03:00:00+01:00,France
Maine-et-Loire,"47.0544439994646, -0.886111",O3,µg/m³,64.0,2023-02-27T03:00:00+01:00,France
Corse-du-Sud,"41.924656325342, 8.73569392987881",PM10,µg/m³,23.1,2023-02-27T03:00:00+01:00,France
Moselle,"49.394460064023, 6.20139379977934",O3,µg/m³,70.8,2023-02-27T02:00:00+01:00,France
Haut-Rhin,"47.5949405939562, 7.56817152141435",NO2,µg/m³,4.0,2023-02-27T01:00:00+01:00,France
Côte-d'Or,"47.1372157133461, 4.95057959817132",PM10,µg/m³,11.2,2021-01-01T01:00:00+01:00,France
Morbihan,"47.7522102114299, -3.37565324205297",O3,µg/m³,76.0,2017-05-18T17:00:00+02:00,France
Moselle,"49.158413999469, 6.731664",SO2,µg/m³,4.9,2020-05-07T14:00:00+02:00,France
Meurthe-et-Moselle,"48.6333389994676, 6.304828",NO2,µg/m³,6.5,2020-03-26T13:00:00+01:00,France
Bouches-du-Rhône,"43.4051999994639, 5.0515",PM10,µg/m³,14.75,2016-12-05T18:00:00+01:00,France
Aveyron,"44.1061895923754, 3.07217538961888",O3,µg/m³,75.0,2019-02-12T15:00:00+01:00,France
Haute-Corse,"42.7000969994648, 9.451769",PM10,µg/m³,7.9,2018-12-31T04:00:00+01:00,France
ATMO HAUTS DE FRANCE,"50.1724794592506, 3.23606403005364",PM10,µg/m³,8.7,2018-12-10T10:00:00+01:00,France
Loiret,"47.8374309994659, 1.944611",PM10,µg/m³,14.68,2018-04-25T02:00:00+02:00,France
Gard,"44.1427579994634, 4.1388",O3,µg/m³,74.88,2017-11-04T17:00:00+01:00,France
ATMO AUVERGNE,"45.2747534308148, 3.68791661796576",O3,µg/m³,76.75,2016-12-05T18:00:00+01:00,France
Rhône,"45.7748381342459, 4.89857612637364",CO,µg/m³,213.0,2023-02-27T06:00:00+01:00,France
Seine-Maritime,"49.7499867174524, 0.415900213611088",O3,µg/m³,68.3,2023-02-27T06:00:00+01:00,France
Hérault,"43.6099621683997, 3.89860748470315",PM10,µg/m³,8.5,2023-02-27T06:00:00+01:00,France
Haute-Savoie,"45.9096976785902, 6.11824573708124",PM10,µg/m³,8.6,2023-02-27T01:00:00+01:00,France
Allier,"46.6526446514876, 3.60066325441923",O3,µg/m³,18.9,2023-02-24T06:00:00+01:00,France
Moselle,"48.6947222254215, 6.96527620163037",SO2,µg/m³,-0.5,2023-02-27T06:00:00+01:00,France
Ardennes,"49.7452850616382, 4.71916459782929",O3,µg/m³,60.0,2023-02-27T06:00:00+01:00,France
Ardennes,"49.7452850616382, 4.71916459782929",SO2,µg/m³,-0.5,2019-10-04T10:00:00+02:00,France
Ardennes,"49.7452850616382, 4.71916459782929",PM10,µg/m³,7.8,2023-02-27T06:00:00+01:00,France
Gard,"43.8343944035121, 4.37422051188023",NO2,µg/m³,23.4,2023-02-27T06:00:00+01:00,France
Nord,"50.7065553864362, 3.18065594332915",CO,µg/m³,262.0,2023-02-27T06:00:00+01:00,France
Hautes-Pyrénées,"43.2302881526032, 0.0622219878175955",PM10,µg/m³,8.4,2023-02-27T06:00:00+01:00,France
Pyrénées-Atlantiques,"43.376111, -0.536944",SO2,µg/m³,7.4,2023-02-27T06:00:00+01:00,France
Bas-Rhin,"48.8572835390584, 7.31417287482956",NO2,µg/m³,2.3,2020-02-11T11:00:00+01:00,France
Isère,"45.3601559563041, 5.58941651247292",PM10,µg/m³,4.3,2023-02-27T05:00:00+01:00,France
Nord,"50.3642606948305, 3.52273440352186",PM10,µg/m³,7.7,2023-02-27T06:00:00+01:00,France
Gironde,"44.841389, -0.65",PM10,µg/m³,5.1,2023-02-27T05:00:00+01:00,France
Aisne,"49.8428234743806, 3.28143793505452",NO2,µg/m³,38.07,2017-12-12T16:00:00+01:00,France
